Instrument,ISIN,Mnemonic
"HOME DEPOT INC.    DL-,05",US4370761029,HDI
HON HAI PREC.IND.GDR S/2,US4380902019,HHP1
HONDA MOTOR ADR/1O.N.,US4381283088,HDMA
HONEYWELL INTL        DL1,US4385161066,ALD
HONGLI CLEAN EN.TECHS,US4385862085,AA7C
HK TELEVIS.NETW.ADR HD-10,US43858G1076,XHNA
"HOPE BANCORP INC. DL-,001",US43940T1097,NRB
"HORACE MANN EDUC. DL-,001",US4403271046,HM9
"HORMEL FOODS   DL-,01465",US4404521001,HO7
HORNBECK OFFSH.SVCS DL-01,US4405431069,HJ2
"HORTONWORKS INC.DL -,0001",US4408941031,14K
HOSPITALITY PROP. TR. SBI,US44106M1027,HPO
"HOST HOTELS+RESOR.DL 0,01",US44107P1049,HMT
"HOSTESS BRANDS A DL-,0001",US44109J1060,H1B
HOUGH.MIFFIN HARCOU.DL-01,US44157R1095,HM0
"HOULIHAN LOKEY A  DL-,001",US4415931009,2HL
"HOUSTON AMERN ENE.DL-,001",US44183U1007,8H6
"HOUSTON WIRE+CAB. DL-,001",US44244K1097,H6J
"HOVNANIAN ENTER. A DL-,01",US4424872038,HO3
"HOWARD HUGHES CORP.DL-,01",US44267D1072,HHE
HUANENG PWR H YC 1 ADR/40,US4433041005,HUP
"HUB GROUP INC. A   DL-,01",US4433201062,HBG
"HUBBELL INC.       DL-,01",US4435106079,HUEC
"HUBSPOT INC.      DL-,001",US4435731009,096
"HUDSON GLOBAL INC.DL-,001",US4437871068,HDH
"HUDSON PACIFIC PPT.DL-,01",US4440971095,HP9
"HUDSON TECHS INC.  DL-,01",US4441441098,HT4
HUGO BOSS AG SPON.ADR1/5,US4445601069,BOSA
HUGOTON ROYAL.T.(TEX.)SBI,US4447171020,6HR
"HUMANA INC.       DL-,166",US4448591028,HUM
"HUNT (J.B.) TRANS. DL-,01",US4456581077,JB1
"HUNTINGTON BANCSHS DL-,01",US4461501045,HU3
"HUNTINGTON INGALLS DL-,01",US4464131063,HI4
"HUNTSMAN CORP.     DL-,01",US4470111075,HTR
"HURON CONSULTING   DL-,01",US4474621020,HUR
"HUTCHISON CH.MEDIT.LS-,10",US44842L1035,H7T1
"HUTTIG BUILDING    DL-,01",US4484511047,HBU
"HYATT HOTELS CL. A DL-,01",US4485791028,1HTA
"IDT CORP. B NEW    DL-,01",US4489475073,IDC2
HYSTER-YALE MAT.H.A DL-01,US4491721050,HYEA
"IAC INTERACTIVEC.  DL-,01",US44919P5089,HNIB
"ICF INTL INC.     DL -,01",US44925C1036,G6V
"ICU MEDICAL INC.   DL-,10",US44930G1076,IC7
"ICAD INC.          DL-,01",US44934S2068,HWT1
"ILG INC.           DL-,01",US44967H1014,ILE
"IPG PHOTONICS    DL-,0001",US44980X1090,IPF
"IRHYTHM TECHN.INC.DL-,001",US4500561067,I25
"ISTAR INC. A     DL -,001",US45031U1016,OLZ
ITAU CORPB.ADR REG.S/1500,US45033E1055,D8S
IXIA INC.,US45071R1095,IXJ
IBERIABANK CORP.     DL 1,US4508281080,ISK
"IBIO INC.          DL-,01",US4510331048,0JV
ICICI BANK LTD ADR/2,US45104G1040,ICBA
"ICONIX BRAND GRP  DL-,001",US4510551074,IKI
ICAHN ENTERPRISES L.P.,US4511001012,2IN
IDACORP INC.,US4511071064,IDJ
"IDEX CORP.         DL-,01",US45167R1041,ID7
"IDEXX LABS INC.    DL-,10",US45168D1046,IX1
"IDERA PHARMAC.NEW DL-,001",US45168K3068,HXXA
"IDENTIV INC.      DL-,001",US45170X2053,INVN
"IGNITE RESTAUR.GR. DL-,01",US4517301051,I2G
"IGNYTA INC.    DL -,00001",US4517311035,2I4
IKANG HE.SP.ADR A 1 DL-01,US45174L1089,IK9A
ILL. TOOL WKS,US4523081093,ILT
"ILLUMINA INC.      DL-,01",US4523271090,ILU
"IMAGE SENSING SYS  DL-,01",US45244C1045,IM9
"IMATION CORP.      DL-,01",US45245A1079,IMN
"IMMERSION CORP.   DL-,001",US4525211078,IMV
"IMMUCELL CORP.     DL-,10",US4525253062,IUL
"IMMUNE DESIGN     DL-,001",US45252L1035,6ID
"IMMUNOC. THERAP.  DL-,001",US4525362046,KOL1
"IMMUNOGEN INC.     DL-,01",US45253H1014,IMU
"IMMUNE PHARMAC.  DL-,0001",US45254C1018,FZRP
"IMPAC MTGE HLDGS   DL-,01",US45254P5089,IMQ1
"IMPALA PLAT.ADR/1 RC-,025",US4525533083,IPH1
"IMPAX LABORATORIES DL-,01",US45256B1017,ILR
IMPERIAL BRANDS PLC ADR/1,US45262P1021,ITBA
"IMMUNOMEDICS INC.  DL-,01",US4529071080,IM3
"IMPINJ INC.       DL-,001",US4532041096,27J
"IMPERVA INC.    DL -,0001",US45321L1008,45I
"INC RESEAR.HLDGS A DL-,01",US45329R1095,8IN
"INCYTE            DL-,001",US45337C1027,ICY
"INDEPEN.CONTR.DRIL.DL-,01",US4534153097,81C
"INDEPENDENT BK GR.DL -,01",US45384B1061,I3B
"INDIA GLOBAL.CAP. DL -,01",US45408X3089,IGS1
INDIVIOR PLC ADR/5   DL 2,US45579E1055,2IVA
INFINEON TECHNOLOGIES ADR,US45662N1037,IFXA
"INFINITY PHARMAC. DL-,001",US45665G3039,I3F
INFINITY PPTY + CASUALTY,US45665Q1031,IPW
"INFINERA CORP.   DL -,001",US45667G1031,IX6
"INFO.SVCS GRP.INC.DL-,001",US45675Y1047,ZZG
"INFOSONICS CORP.  DL-,001",US4567841071,IUO
INFOSYS LTD. ADR/1 IR5,US4567881085,IOY
"ING GP NV SP.ADR/1 EO-,24",US4568371037,INNA
"INGEVITY CORP.     DL-,01",US45688C1071,IGX
"INGREDION INC.     DL-,01",US4571871023,CNP
"INNODATA INC.     DL -,01",US4576422053,ID6
"INSIGHT ENTERPR.   DL-,01",US45765U1034,IEI
"INSMED INC.        DL-,01",US4576693075,IM8N
"INNOSPEC INC.      DL-,01",US45768S1050,OCT
"INPHI CORP.        DL-,01",US45772F1075,IN0
INOVIO PHARMACEUTICAL INC,US45773H2013,GBMB
INNERWORKINGS INC.DL-0001,US45773Y1055,QPV
"INNOPHOS HLDGS    DL -,01",US45774N1081,HQ9
INSTEEL INDS INC.,US45774W1080,HZ8
"INSPERITY INC.     DL-,01",US45778Q1076,ASF
"INSPIREMD(2016)DL-,0001",US45779A8045,II2N
"INOGEN INC.      DL -,001",US45780L1044,6IO
"INSTAL.BLDG PRODS DL -,01",US45780R1014,2IL
"INOTEK PHARMACEUT. DL-,01",US45780V1026,9IP
INOVALON HLD. A DL-000025,US45781D1019,IOV
"INNOVIVA INC.      DL-,01",US45781M1018,HVE
"INSTRUCTURE INC. DL-,0001",US45781U1034,1IN
"INNOVATIVE IND PR.A -,001",US45781V1017,1IK
"INSEEGO CORP.     DL-,001",US45782B1044,INO
"INSULET CORP.    DL -,001",US45784P1012,GOV
"INTEGR.LIFES.HLDGS DL-,01",US4579852082,IL3
"INTEGRATED DEVICE DL-,001",US4581181066,IDT
"INTEL CORP.       DL-,001",US4581401001,INL
"INTELGENX TECHN.DL-,00001",US45822R1014,0IL
"INSYS THERAPEUT.DL-,00021",US45824V2097,NPR1
"INTELIQUENT INC. DL -,001",US45825N1072,37Z
"INTEGER HLDGS     DL-,001",US45826H1095,WGB
"INTELLIA THERAPEU  DL-,01",US45826J1051,38I
INTER PARFUMS INC. DL-001,US4583341098,JF1
INTERACTIVE BROKERS DL-01,US45841N1072,KY6
"INTERCEPT PHARMAC.DL-,001",US45845P1084,I4P
INTERCONT.HOT.G.N.ADR NEW,US45857P6088,IC1N
"INTERFACE INC.     DL-,10",US4586653044,IF6N
INTERCONTINENTAL EXCH.INC,US45866F1049,IC2
"INTERDIGITAL (PA.) DL-,01",US45867G1013,IDI
"INTERMOLECULAR INC.DL-,01",US45882D1090,IML
"INTERNAP CORP.   DL -,001",US45885A3005,IP9A
INTL BANCSHARES      DL 1,US4590441030,IB4
"INTL BUS. MACH.    DL-,20",US4592001014,IBM
"INTL FLAVORS/FRAG.DL-,125",US4595061015,IFF
INTL PAPER           DL 1,US4601461035,INP
"INTL SPEEDWAY A DL-,01",US4603352018,IS6A
INTERNET IN.JP.ADR 1/2/ON,US46059T1097,IIJ
"INTERP.DIA.GR.INC. DL-,01",US46062X2045,PF41
"INTERPUBL.GR. COS. DL-,10",US4606901001,IPG
"INTERSIL           DL-,01",US46069S1096,IH9
"INTERSECT ENT     DL-,001",US46071F1030,7IN
INTRAWEST RES.HLDGS DL-01,US46090K1097,IWR
"INTL FCSTONE INC.  DL-,01",US46116V1052,I4F
"INTRA-CELLUL.THE.DL-,0001",US46116X1019,23I
"INTRALINKS HLDGS DL -,001",US46118H1041,098
"INTUIT INC.        DL-,01",US4612021034,ITU
INVACARE CORP.,US4612031017,IV3
"INTUITIVE SURGIC. DL-,001",US46120E6023,IUI1
"INVENTURE FOODS    DL-,01",US4612121024,PO4
"INTREPID POTASH  DL -,001",US46121Y1029,58I
INTREXON CORP.,US46122T1025,I5X
"INUVO INC. NEW   DL -,001",US46122W2044,CD5N
"INVENSENSE INC.   DL-,001",US46123D2053,6IS
"INVENTERGY GLOB.  DL-,001",US46123X4097,EOM3
"INVESCO MORTGA.CAP.DL-,01",US46131B1008,7M2
"INV.TECH.GRP  INC. DL-,01",US46145F1057,IVY
INVESTORS BANCORP (NEW),US46146L1017,0IB
INVESTORS R.ESTATE TR.SBI,US4617301035,WXC
"INVITAE CORP.    DL-,0001",US46185L1035,IV8
"INVIVO THERAPEU.DL-,00001",US46186M2098,04IA
"INVUITY INC.NEW   DL-,001",US46187J2050,0II
"ION GEOPHYSIC. NEW DL-,01",US4620442073,IO8N
IONIS PHARMACEUT.  DL-001,US4622221004,ISI
"IPASS INC.        DL-,001",US46261V1089,IPN
"IRIDEX CORP.       DL-,01",US4626841013,IX4
"IRIDIUM COMCTNS DL-,001",US46269C1027,6IC
IRKUT NAUCHNO ADR/20 RL 3,US46271W1045,II4
"IROBOT CORP.       DL-,01",US4627261005,I8R
"IRON MOUNTAIN (NEW)DL-,01",US46284V1017,I5M
"IRONWOOD PHARMA.A DL-,001",US46333X1081,I76
"ISLE OF CAPRI CAS. DL-,01",US4645921044,IC5
"ISORAY INC.       DL-,001",US46489V1044,AAJ
"ISRAMCO INC.       DL-,01",US4651414066,IRM
ITAU UNIBCO HLDG ADR PFD1,US4655621062,BVXB
ITRON INC.,US4657411066,IT6
"IXYS CORP. (DEL.)  DL-,01",US46600W1062,IXY
JA SOLAR HLDGS ADR 5,US4660902069,YI2A
JPMORGAN CHASE       DL 1,US46625H1005,CMC
JSC HALYK BK GDRS/40 KT15,US46627J3023,H4L1
"VTB BK GDR REG.S/1 RL-,01",US46630Q2021,KYM1
"JABIL CIRCUIT     DL-,001",US4663131039,JBL
"JACK IN THE BOX    DL-,01",US4663671091,JBX
JP ENERGY PARTNERS LP UTS,US46643C1099,0JP
"JMU SP.ADR 18   DL-,00001",US46647L1052,WO1A
JACOBS ENGINEERING  DL 1,US4698141078,JEG
"JAKKS PACIFIC     DL-,001",US47012E1064,JP1
"JAMBA INC.        DL-,001",US47023A3095,XJA1
"JANUS CAPITAL GRP  DL-,01",US47102X1054,SLS
JAPAN TOBACCO UNSP.ADR1/2,US4711052054,JATA
JD.COM SP.ADR A1 DL-00002,US47215P1066,013A
"JETBLUE AWYS CORP. DL-,01",US4771431016,JAW
JINKOSOLAR ADR/4 DL-00002,US47759T1007,ZJS1
JIVE SOFTWARE INC.DL-0001,US47760A1088,JSN
"JOHN BEAN TECHS    DL-,01",US4778391049,JBT
JOHNSON + JOHNSON    DL 1,US4781601046,JNJ
"JOINT CORP.       DL-,001",US47973J1025,1JO
"JONES ENERGY CL.A DL-,001",US48019R1086,J5E
"JONES LANG LASALLE DL-,01",US48020Q1076,4J2
JOY GLOBAL INC.      DL 1,US4811651086,JO3
SISTEMA GDR REGS 1/50,US48122U2042,KO71
"J2 GLOBAL INC.     DL-,01",US48123V1026,JXC1
JUMEI IN.H.ADR A1 DL-0002,US48138L1070,0JUA
"JUNIPER PHARMAC.   DL-,01",US48203L1070,CLB1
"JUNIPER NETWORKS   DL-,01",US48203R1041,JNP
JUNO THERAPEUTICS DL-0001,US48205A1097,2JT
KAR AUCTION SERVICES INC.,US48238T1097,XKR
KB FINANCIAL ADR SW 5000,US48241A1051,KBIA
"KBR INC.         DL -,001",US48242W1062,K6B
"KCG HOLDINGS INC.A DL-,01",US48244B1008,3K2
"KLA-TENCOR CORP.  DL-,001",US4824801009,KLA
KKR + CO. LP         O.N.,US48248M1027,KR5
"KLX INC.           DL-,01",US4825391034,2KX
K+S AG SP.ADR 1/2/O.N.,US48265W1080,SDF1
KT CORP. ADR 1/2/SW 5000,US48268K1016,KTC
"K2M GROUP HLDGS   DL-,001",US48273J1079,1K2
"K12 INC.         DL-,0001",US48273U1025,3KA
"KADANT INC.        DL-,01",US48282T1043,KDA
"KADMON HLDGS.INC. DL-,001",US48283N1063,KDF
"KAISER ALUM.CORP. DL-,01",US4830077040,KLU1
"KALVISTA PHARMA.  DL-,001",US4834971032,4XC1
"KANDI TECHNOL.GRP DL-,001",US4837091010,K8A
KANS.CIT.SO.,US4851703029,KCY
"KAPST. PAP.+PACK.DL-,0001",US48562P1030,KTU
KARYOPHARM THERAP.DL-0001,US48576U1060,25K
KATE SPADE + CO.     DL 1,US4858651098,LIZ
KAZKOMMBK GDRSREGS OCT06,US48666E6086,KKBB
KB HOME              DL 1,US48666K1097,KBH
KAZMUNAIGAS GDRS   KT 250,US48666V2043,Q9H1
"KCAP FINANCIAL INC.DL-,01",US48668E1010,KJ7
KCELL JSC GDR REG S,US48668G2057,KC1A
"KELLOGG CO.       DL -,25",US4878361082,KEL
KELLY SERVS INC. A DL 1,US4881522084,KYSA
"KEMET CORP. NEW    DL-,01",US4883602074,KM1N
"KEMPHARM INC.    DL-,0001",US4884451075,1GD
"KENNAMETAL INC.   DL 1,25",US4891701009,KM3
"KENNEDY-WILSON   DL-,0001",US4893981070,13K
"KERYX BIOPHARMAC. DL-,001",US4925151015,KYX
KEY TRONIC CORP.,US4931441095,KT1
KEYCORP              DL 1,US4932671088,KEY
"KEYSIGHT TECHS     DL-,01",US49338L1035,1KT
"KEYW HOLDING CORP.DL-,001",US4937231003,ZKW
"KFORCE INC.        DL-,01",US4937321010,ROF
"KHARTSYZK TU.GDR/50UH-,05",US49373P2092,LBY
"KIMBALL INTL B   DL-,3125",US4942741038,KB1B
"KILROY REALTY CORP.DL-,01",US49427F1084,KRC
"KIMBERLY-CLARK    DL 1,25",US4943681035,KMY
"KIMCO REALTY       DL-,01",US49446R1095,KIC
"KINDER MORGAN P DL-,01",US49456B1017,2KD
KINDRED BIOSCIENC.DL-0001,US4945771099,17K
"KINDRED HEALTHCARE DL-,25",US4945801037,LDJ
"KINGOLD JEWEL. NEW DL-,01",US49579A2042,7KJ
KINGSTONE CO.INC.    DL 1,US4967191051,DJ4A
KINGTONE WIREL.SOL.H. ADR,US4968802045,78IB
"KINSALE CAP.GRP.INC. -,01",US49714P1084,KCH
"KIRBY CORP.       DL 0,10",US4972661064,KIY
KIRKLAND'S INC.,US4974981056,KI2
"KITE PHARMA INC. DL -,001",US49803L1098,KT5
KITE REALTY GRP SBI DL-01,US49803T3005,FGC1
"KNOLL INC.        DL -,01",US4989042001,KK6
"KNIGHT TRANSPORT.  DL-,01",US4990641031,KT2
"KNOWLES CORP.      DL-,01",US49926D1090,1K3
"KOHL'S CORP.       DL-,01",US5002551043,KHP
"AHOLD DELHAI.ADR16 EO-,25",US5004675014,AHOD
KONAMI HOLDINGS ADR,US50046R1014,KOAA
"KONINKL. PHILIPS ADR -,20",US5004723038,PHIA
"KONA GRILL INC.    DL-,01",US50047H2013,K5G
KONGZHONG SP.ADR/40,US50047P1049,HOA
"KOPIN CORP.        DL-,01",US5006001011,KOC
"KOPPERS HOLDINGS   DL-,01",US50060P1066,KO9
KOREA EL. PWR ADR 1/2,US5006311063,KOP
"KOREA FUND INC.    DL-,01",US5006342092,KOF1
"KORN FERRY INTL DL -,01",US5006432000,KFY
"KRAFT HEINZ CO.DL -,01",US5007541064,KHNZ
KRATOS DEF.+SEC.NEW DL001,US50077B2079,WF5A
"KRATON CORP. DL -,01",US50077C1062,K21
KROGER CO.           DL 1,US5010441013,KOG
"KRONOS WORLDWIDE   DL-,01",US50105F1057,K1W
KUBOTA CORP. ADR/20,US5011732071,KUOA
KULICKE + SOFFA IND.,US5012421013,KU1
"KURA ONCOLOGY  DL-,0001",US50127T1097,KUR
KYOCERA CORP. ADR/1 O.N.,US5015562037,KYRA
"L BRANDS INC.      DL-,50",US5017971046,LTD
LG ELECT.(NEW)GDR144A 1/2,US50186Q2021,LGLG
LG DISPLAY CO.ADR SW 5000,US50186V1026,LGA
"LHC GROUP INC.    DL -,01",US50187A1079,LH6
LEJU HOLDINGS LTD ADR 1,US50187J1088,1LUA
"LGI HOMES INC.     DL-,01",US50187T1060,LG1
"LKQ CORP.          DL-,01",US5018892084,LKQ1
"LCI INDS           DL-,01",US50189K1034,0DI
"LMI AEROSPACE      DL-,02",US5020791068,LM1
"LPL FINANCIAL HLDS DL-,01",US50212V1008,7LI
"LSB IND. INC.      DL-,10",US5021601043,LS3
LSI INDUSTRIES INC.,US50216C1080,LS2
"LTC PTIES INC.     DL-,01",US5021751020,LTP
LSR GROUP PAO GDR S/5,US50218G2066,3LSA
"LSC COMMUNICATIONS DL-,01",US50218P1075,2L3
"L3 TECHS INC.      DL-,01",US5024131071,L3H
"LVMH ADR        /2 EO-,30",US5024413065,MOHF
"LA JOLLA PHARM.  DL-,0001",US5034596040,LJPP
LA QUINTA HOLDINGS INC.,US50420D1081,17Q
LA-Z-BOY INC.        DL 1,US5053361078,LAZ
"LAB. CORP.OF AMER. DL-,10",US50540R4092,LAB
"LADDER CAP.CORP.A DL-,001",US5057431042,LD1A
"LADENBURG THA.F. DL-,0001",US50575Q1022,LT6
"LAKELAND INDS INC. DL-,01",US5117951062,LLI
LAM RESEARCH CORP. DL-001,US5128071082,LAR
LAMAR ADVERTISING A,US5128161099,6LA
LAMB WESTON HLDGS    DL 1,US5132721045,0L5
LANCASTER COLONY CORP.,US5138471033,LC1
"LANDEC CORP.       DL-,01",US5147661046,LDE
"LANDAUER INC.     DL-,10",US51476K1034,LDU
"LANDSTAR SYS       DL-,01",US5150981018,LDS
"LANDS END INC.     DL-,01",US51509F1057,LED
LANNETT CO. INC.,US5160121019,LN5
"LANTHEUS HLDGS     DL-,01",US5165441032,0L8
"LANTRONIX NEW    DL-,0001",US5165482036,LA8N
"LAREDO PETROLE.INC.DL-,01",US5168061068,8LP
"LAS VEGAS SANDS   DL-,001",US5178341070,LCR
"LASALLE HOTEL PROP.DL-,01",US5179421087,LH9
LATAM AIRLINES GRP ADR 1,US51817R1068,LFL
"LATTICE SEMICOND.  DL-,01",US5184151042,LTT
"ESTEE LAUDER COS A DL-,01",US5184391044,ELAA
"LAYNE CHRISTENSEN  DL-,01",US5210501046,LC3
"LEAF GROUP LTD   DL-,0001",US52177G1022,DJM1
"LEAR CORP.         DL-,01",US5218652049,LE6N
LEE ENTERPRISES INC. DL 2,US5237681094,LE7
"LEGGETT + PLATT    DL-,01",US5246601075,LP1
LEGACY RESERVES LP UTS,US5247073043,LRT
LEGACYTEXAS FINL GRP,US52471Y1064,60L
"LEGG MASON INC.    DL-,10",US5249011058,LGG
"LEIDOS HOLDINGS  DL-,0001",US5253271028,S6IA
"LENDINGCLUB CORP.  DL-,01",US52603A1097,8LC
"LENDINGTREE        DL-,01",US52603B1070,T77
"LENNAR CORP.A      DL-,10",US5260571048,LNN
"LENNOX INTL INC.   DL-,01",US5261071071,LXI
"LENOVO GRP ADR/20 HD-,10",US5262501050,LHL1
LENTA LTD  GDR S 1/2,US52634T2006,17LA
LEUCADIA NATL        DL 1,US5272881047,LN3
"LEVEL 3 COMMC.NEW  DL-,01",US52729N3089,LVCN
"LEXICON PHARM.    DL-,001",US5288723027,LX31
LEXINGTON REALTY TRUST,US5290431015,LXN
"LIBBEY INC.        DL-,01",US5298981086,LB7
LIBERTY BROADBAND A,US5303071071,8L8
"LIBERTY EXPEDIA A DL-,01",US53046P1093,1LI
LIBERTY INTERACTIVE.QVC.A,US53071M1045,LB3A
LIBERTY INTER.LIB.V.A NEW,US53071M8560,LB3N
LIBERTY PROP. TR. SBI,US5311721048,LLZ
LIBERTY MED. A SIRIUSXM,US5312294094,LM03
LIBERTY MEDIA B SIRIUSXM,US5312295083,LM06
LIBERTY MED. C SIRIUSXM,US5312296073,LM0B
LIBERTY MED. A BRAVES GRP,US5312297063,LM04
LIBERTY MED. C LIBERTY M.,US5312298541,LM09
LIBERTY MED. A MEDIA GRP,US5312298707,LM05
LIBERTY MED. C BRAVES GRP,US5312298889,LM0A
LIBERTY TRIPADV. HLDGS A,US5314651028,LT0A
LIFEWAY FOODS INC.,US5319141090,LWF
"LIFEPOINT HEALTH   DL-,01",US53219L1098,LPO
LIGAND PHARMAC.NEW DL-001,US53220K5048,LGDN
LIFEVANTAGE CORP.,US53222K2050,L2T1
"LIFE STORAGE INC.  DL-,01",US53223X1072,SOV
"LIGHTBRIDGE CORP. DL-,001",US53224K2033,N7OM
"LIFELOCK INC.    DL -,001",US53224V1008,LL2
"LIGHTPATH TECHS A  DL-,01",US5322578056,LPZB
LIGHTINTHEBOX HLDGS S.ADR,US53225G1022,L4XA
LILLY (ELI),US5324571083,LLY
"LIMELIGHT NET.INC DL-,001",US53261M1045,LNK
LINCOLN ELECTR. HLDGS,US5339001068,LNE
LINCOLN NATL,US5341871094,LCO
LINDE AG SP.ADR 1/10/O.N.,US5352232004,LIN1
LINDSAY CORP.        DL 1,US5355551061,LMF
"LINEAR TECH.CORP. DL-,001",US5356781063,LTC
LINE CORP. SP. ADR 1,US53567X1019,LI6
LINNCO REP.LTD LIAB.INT.,US5357821066,5LC
"LINN ENERGY LLC    DL-,01",US5360201009,LI8
"LION BIOTECHS INC.DL-,001",US53619R1023,2LB
"LIONBRIDGE TECHNO. DL-,01",US5362521099,LBG
"LIPOCINE INC.NEW DL-,0001",US53630X1046,2VT
"LIQUID HLDGS GRP DL-,0001",US53633A1016,2L5
LIQUIDITY SERVICES DL-001,US53635B1070,L1S
LITHIA MOTORS INC. A,US5367971034,LMO
"LITTELFUSE INC.    DL-,01",US5370081045,LFS
"LIVE NATION ENTMT.DL -,01",US5380341090,3LN
"LIVE VENTURES     DL-,001",US5381423087,UYXP
"LIVEPERSON INC.    DL-,01",US5381461012,LVO
"LLOYDS BKG ADR/4 LS -,25",US5394391099,LLD2
LOCKHEED MARTIN    DL 1,US5398301094,LOM
LOEWS CORP.          DL 1,US5404241086,LTR
"LOGMEIN INC.       DL-,01",US54142L1098,9LG
LORAL SPACE + COMM. INC.,US5438811060,1L8
LOTTE SHOPP.GDR 144A 1/20,US54569T1060,L9S
LOUIS. PAC. CORP.    DL 1,US5463471053,LP3
"LOWE'S COS INC.    DL-,50",US5486611073,LWE
"LOXO ONKOLOGY    DL-,0001",US5488621013,L95
LULULEMON ATHLETICA INC.,US5500211090,33L
"LUMBER LIQ.HD.INC.DL-,001",US55003T1079,LKU
"LUMENTUM HLDGS IN.DL-,001",US55024U1097,LU2
"LUMINEX CORP. DEL  DL-,01",US55027E1029,LMX
"LUMOS NETWORKS     DL-,01",US5502831051,L8M
"LUNA INOVATIONS  DL-,01",US5503511009,LRD
LUXFER HLDGS PLC SP.ADR,US5506781062,LX4
"LUXOTTICA ADR/1 EO 0,06",US55068R2022,LUX
"LYDALL INC.        DL 0,1",US5508191062,LY7
LYNAS CORP. SP. ADR 1,US5510732085,LYIA
"WILLIAM LYON A DL-,01",US5520747008,2LW
"M AND T BANK CORP. DL-,50",US55261F1049,MTZ
MBIA INC.            DL 1,US55262C1009,MBJ
"MB FINANCIAL (NEW) DL-,01",US55264U1088,MBF
"M.D.C. HLDGS      DL -,01",US5526761086,MDH
MDU RESOURCES GRP    DL 1,US5526901096,MRE
"MFA FINANCIAL INC.DL -,01",US55272X1028,M4Z
MEI PHARMA INC.,US55279B2025,MMIA
MD MED.GROUP INV.GDR REGS,US55279C2008,MD6B
MGIC INV. CORP.      DL 1,US5528481030,MGC
"MGM RESORTS INTL  DL -,01",US5529531015,MGG
MHP S.A. GDR S/2,US55302T2042,MPQ
MGM GROWTH PROPERTIES A,US55303A1051,293
MGP INGREDIENTS INC.(NEW),US55303J1060,M1I
"M/I HOMES INC.     DL-,01",US55305B1017,4MI
MKS INSTRUMENTS INC.,US55306N1046,MKT
MNP PETROLEUM CORP.DL-001,US55315B1098,PXU
MMC NOR.NICK.PJSC ADR RL1,US55315J1025,NNIC
MPLX L.P. UTS,US55336V1008,M0X
"MRC GLOBAL INC.    DL-,01",US55345K1034,37M
MSA SAFETY INC.,US5534981064,M07
"MSC INDUSTR. DIRE.DL-,001",US5535301064,98M
"MSCI INC. A        DL-,01",US55354G1004,3HM
"MSG NETWORKS A     DL-,01",US5535731062,1M4
"MTS SYST.         DL -,25",US5537771033,MT7
MYR GROUP INC. (DEL.),US55405W1045,MYP
"MACOM TECHN.SOL.H.DL-,001",US55405Y1001,1MA
"MACERICH CO.,THE   DL-,01",US5543821012,M6G
"MACK-CALI RLTY     DL-,01",US5544891048,WY4
MACQUARIE INFRASTRUCT. MI,US55608B1052,14M
"MACROGENICS INC.   DL-,01",US5560991094,M55
"MACYS, INC.        DL-,01",US55616P1049,FDO
"STEVEN MADDEN    DL-,0001",US5562691080,SJM
MADISON SQU.GARD.(NEW) A,US55825T1034,MS8
"MADRIGAL PHARMAC.  DL-,01",US5588681057,YDO1
MAGELLAN HEALTH INC.DL-01,US5590792074,MAH1
MAGELLAN MIDSTREAM PARTN.,US5590801065,WEP
"MAGELLAN PET. NEW  DL-,01",US5590916087,MPLN
MAGNITOGO.METALL.REGS/13,US5591892048,MHQ
MAGNACHIP SEMIC.(NEW)DEP.,US55933J2033,SMG
"MAGNEGAS CORP.    DL-,001",US55939L2025,9MG
MAGNIT GDR REG.S/1/5RL-01,US55953Q2021,5M71
MAGYAR TELE.A ADR/5 UF100,US5597761098,MGYA
MAHANAGAR TELE NIG. ADR/2,US5597784025,MTN1
MAIL.RU GROUP GDR REG S,US5603172082,RL9A
"MAIN STREET CAP.CP.DL-,01",US56035L1044,13M
"MALIBU BOATS INC.A DL-,01",US56117J1007,M05
"MAMMOTH ENER.SVCS DL-,01",US56155L1089,5M8
MAN SE UNSP.ADR 1/10,US5616411014,MANC
"MANHATTAN ASSOC.   DL-,01",US5627501092,MHT
MANITEX INTERNATION.INC.,US5634201082,VE8
"MANITOWOC FOODSERV.DL-,01",US5635681043,6M6
"MANITOWOC CO.      DL-,01",US5635711089,MNG
"MANNING+NAPIER C.A DL-,01",US56382Q1022,MN0
"MANNKIND CORP.     DL-,01",US56400P2011,NNF1
"MANPOWERGROUP INC. DL-,01",US56418H1005,MPW
MANTECH INTERN.CORP. A,US5645631046,MNMA
MARATHON OIL         DL 1,US5658491064,USS
"MARATHON PETROLEUM DL-,01",US56585A1025,MPN
"MARCHEX INC.       DL-,01",US56624R1086,NHM
"MARCUS+MILLICHAP DL-,0001",US5663241090,M6M
"MARINEMAX         DL-,001",US5679081084,MLW
"MARIN SOFTWARE   DL -,001",US56804T1060,2MA
"MARINUS PHARMAC.  DL-,001",US56854Q1013,0MV
MARKEL CORP.,US5705351048,MKV
"MARKETAXESS HLDGS DL-,001",US57060D1081,MWI
"MARLIN BUSINESS    DL-,01",US5711571068,MBM
"MARRIOTT VAC.WORLD.DL-,01",US57164Y1073,M8V
"MARRONE BIO INN.DL-,00001",US57165B1061,0MB
MARSH+MCLENNAN COS.INC.D1,US5717481023,MSN
